ID;ACTIVE;NAME;PARENT_CATEGORY;ROOT_CATEGORY;DESCRIPTION;META_TITLE;META_KEYWORDS;META_DESCRIPTION;URL_REWRITTEN;IMAGE_URL;DATE_ADD;DATE_UPD
3044;1;"Erotic costumes";"Costumes, parties and stag/hen nights";0;;;;;erotic-costumes;;"2017-12-25 03:21:10";"2023-05-08 14:49:02"
3046;1;"Sex shop Erotic";Home;0;;;;;sex-shop-erotic;;"2017-12-24 23:00:30";"2023-07-03 21:47:12"
3047;1;Dildos;"Sex shop Erotic";0;;;;;dildos;;"2018-01-11 10:07:50";"2021-09-20 14:01:20"
3048;1;"Realistic dildos";Dildos;0;;;;;realistic-dildos;;"2018-01-11 10:14:29";"2021-09-20 14:01:20"
3049;1;"Classic dildos";Dildos;0;;;;;classic-dildos;;"2018-01-11 10:14:32";"2023-03-10 14:46:42"
3050;1;"Double dildos";Dildos;0;;;;;double-dildos;;"2018-01-11 10:14:36";"2023-04-12 14:48:43"
3051;1;"Glass dildos";Dildos;0;;;;;glass-dildos;;"2018-01-11 10:14:38";"2021-09-20 14:01:20"
3052;1;"Prostate massagers";Dildos;0;;;;;prostate-massagers;;"2018-01-11 10:14:41";"2023-03-10 14:46:42"
3053;1;"Anal plugs";Dildos;0;;;;;anal-plugs;;"2018-01-11 10:14:43";"2021-09-20 14:01:20"
3054;1;"Dildos with harnesses";Dildos;0;;;;;dildos-with-harnesses;;"2018-01-11 10:14:44";"2023-04-12 07:48:57"
3055;1;"Original dildos";Dildos;0;;;;;original-dildos;;"2018-01-11 10:14:46";"2023-07-04 14:47:59"
3056;1;Vibrators;"Sex shop Erotic";0;;;;;vibrators;;"2018-01-11 10:14:50";"2021-09-20 14:01:20"
3057;1;"Classic vibrators";Vibrators;0;;;;;classic-vibrators;;"2018-01-11 10:14:52";"2021-09-20 14:01:20"
3058;1;"Anal vibrators";Vibrators;0;;;;;anal-vibrators;;"2018-01-11 10:14:53";"2021-09-20 14:01:20"
3059;1;"Bullet vibrators";Vibrators;0;;;;;bullet-vibrators;;"2018-01-11 10:14:55";"2021-09-20 14:01:20"
3060;1;"G-spot vibrators";Vibrators;0;;;;;g-spot-vibrators;;"2018-01-11 10:14:57";"2021-09-20 14:01:20"
3061;1;"Rabbit vibrators";Vibrators;0;;;;;rabbit-vibrators;;"2018-01-11 10:14:58";"2021-09-20 14:01:20"
3062;1;"Vibrators with a camara";Vibrators;0;;;;;vibrators-with-a-camara;;"2018-01-11 10:15:00";"2021-09-20 14:01:20"
3063;1;"Vibrators for couples";Vibrators;0;;;;;vibrators-for-couples;;"2018-01-11 10:15:02";"2021-09-20 14:01:20"
3064;1;"App-controlled vibrators";Vibrators;0;;;;;app-controlled-vibrators;;"2018-01-11 10:15:04";"2021-09-20 14:01:20"
3065;1;"Vibrators with remote control";Vibrators;0;;;;;vibrators-with-remote-control;;"2018-01-11 10:15:06";"2021-09-20 14:01:20"
3066;1;"Special vibrators";Vibrators;0;;;;;special-vibrators;;"2018-01-11 10:15:08";"2023-07-04 14:47:59"
3067;1;"Orgasm Balls";"Sex shop Erotic";0;;;;;orgasm-balls;;"2018-01-11 10:15:12";"2021-09-20 14:01:20"
3068;1;"Ben Wa balls";"Orgasm Balls";0;;;;;ben-wa-balls;;"2018-01-11 10:15:13";"2021-09-20 14:01:20"
3069;1;"Anal beads";"Orgasm Balls";0;;;;;anal-beads;;"2018-01-11 10:15:15";"2021-09-20 14:01:20"
