ID;ACTIVE;NAME;DESCRIPTION;SHORT_DESCRIPTION;META_TITLE;META_KEYWORDS;META_DESCRIPTION;IMAGE_URL
1;1;"Shine Inline";;;;;;
2;1;Craftenwood;;;;;;
3;1;"Bravissima Kitchen";;;;;;
4;1;"Loom in Bloom";;;;;;
5;1;Homania;;;;;;
988;1;"Abdo King";;;;;;
993;1;"Adore Better Living";;;;;;
998;1;"Always Fresh Kitchen";;;;;;
999;1;"Angry Birds";;;;;;
1001;1;"Atopoir Noir";;;;;;
1002;1;AudioSonic;;;;;;
1003;1;"The Avengers";;;;;;
1007;1;"Banknote Check";;;;;;
1008;1;"Batman vs Superman";;;;;;
1009;1;"BBQ Classics";;;;;;
1013;1;"Bijou Tattou";;;;;;
1014;1;"Blue Stone Pan";;;;;;
1019;1;Body10;;;;;;
1020;1;"Boost Board";;;;;;
1022;1;"BW LED";;;;;;
1024;1;"Campart Travel";;;;;;
1027;1;Cars;;;;;;
1033;1;"Chef Master Kitchen";;;;;;
1036;1;Coca-Cola;;;;;;
1044;1;"Cook d'Lux";;;;;;
1047;1;"Couch Air";;;;;;
1049;1;CuboQ;;;;;;
1053;1;"Delizius Deluxe";;;;;;
1060;1;"Dora The Explorer";;;;;;
1061;1;"Dr Gem";;;;;;
1071;1;EmotiCandle;;;;;;
1074;1;Essence;;;;;;
1079;1;"Finding Nemo";;;;;;
1080;1;FireFriend;;;;;;
1082;1;"Fit x Slim";;;;;;
1089;1;Frozen;;;;;;
1092;1;"Full Moon";;;;;;
1093;1;FunFan;;;;;;
1095;1;"Glow Pillow";;;;;;
1098;1;GoFit;;;;;;
1099;1;"Grip +";;;;;;
1101;1;"Handy Chair";;;;;;
1104;1;"Hello Kitty";;;;;;
1106;1;Hidralyne;;;;;;
1108;1;Hulk;;;;;;
1109;1;Hyundai;;;;;;
1112;1;Intex;;;;;;
1125;1;"Looney Tunes";;;;;;
1126;1;"Magic Ballerinas";;;;;;
1131;1;"Mamzelle Ô";;;;;;
1132;1;MegaLed;;;;;;
1133;1;"Mickey Mouse";;;;;;
1134;1;"Micro Sharp Trim";;;;;;
1135;1;Minions;;;;;;
1136;1;"Minnie Mouse";;;;;;
1137;1;"Mosquito Aid Kit";;;;;;
1140;1;"My Pet Ez";;;;;;
1141;1;MyWigo;;;;;;
1143;1;NIP+FAB;;;;;;
1145;1;Olaf;;;;;;
1147;1;"Only H2O";;;;;;
1149;1;"Partner Adventures";;;;;;
1160;1;"Presence Light";;;;;;
1161;1;Presto!;;;;;;
1163;1;Princess;;;;;;
1164;1;"Disney Princess";;;;;;
1166;1;"Punching Tower";;;;;;
1168;1;"PWR Motor";;;;;;
1169;1;"PWR Work";;;;;;
1171;1;"Relax Cushion";;;;;;
1180;1;"Sbelt Neck Slimmer";;;;;;
1181;1;"Sbelta Plus";;;;;;
1183;1;"Scarf & Shawl Hanger";;;;;;
1185;1;"Seal Matik";;;;;;
1187;1;Securitcam;;;;;;
1194;1;Sixfa;;;;;;
1196;1;"Smart Safe Box";;;;;;
1205;1;Sofabulous;;;;;;
1206;1;Sony;;;;;;
1208;1;"Spices Tree";;;;;;
1209;1;Spider-Man;;;;;;
1212;1;"Star Wars";;;;;;
1219;1;"StrapNix Bra";;;;;;
1222;1;"Summum Sommelier";;;;;;
1224;1;"Sun Uva";;;;;;
1229;1;TakeTokio;;;;;;
1234;1;"The Paw Patrol";;;;;;
1235;1;"The Simpsons";;;;;;
1236;1;"The Smurfs";;;;;;
1237;1;"Thermic Dynamics";;;;;;
1238;1;"Thermic Insoles";;;;;;
1240;1;Thomson;;;;;;
1241;1;"Thunder Baton";;;;;;
1242;1;"Thunder Fitness";;;;;;
1244;1;"Top Can Cap";;;;;;
1245;1;TopCom;;;;;;
1246;1;"Trendify Boots";;;;;;
