ID;CATEGORY;NAME;ATTRIBUTE1;ATTRIBUTE2;VALUE1;VALUE2;DESCRIPTION;BRAND;FEATURE;PRICE;PVP_BIGBUY;PVD;IVA;VIDEO;EAN13;WIDTH;HEIGHT;DEPTH;WEIGHT;STOCK;DATE_ADD;DATE_UPD;IMAGE1;IMAGE2;IMAGE3;IMAGE4;IMAGE5;IMAGE6;IMAGE7;IMAGE8;IMAGE_ENERGY_EFFICIENCY;CONDITION;INTRASTAT
S2404568;2662,2669;"Cowboy Rifle Gonher 3098/0 (62 x 13 cm)";;;;;"Children deserve the best, that's why we present to you <b>Cowboy Rifle Gonher 3098/0 (62 x 13 cm)</b>, ideal for those who seek quality products for their little ones! Get <b>Gonher</b> and other brands and licences at the best prices!<br><br><ul><li>Material: Metal</li><li>Recommended age: <ul><li>+ 3 years</li><li>Adults</li></ul></li><li>Instruction manual: Multilanguage</li><li>Battery operated: No</li></ul>";3859;;19.01;13.31;10.65;21;0;8410982309800;14;66;3;0.48;1;"2024-04-15 09:49:32";"2025-01-21 09:11:05";https://cdnbigbuy.com/images/8410982309800_P03.jpg;https://cdnbigbuy.com/images/8410982309800_S2404568_P13.jpg;https://cdnbigbuy.com/images/8410982309800_S2404568_GPSRL_P33.jpg;;;;;;;NEW;95030021
S2425249;2662,2684;"Balls Fisher Price animals";;;;;"Children deserve the best, that's why we present to you <b>Balls Fisher Price animals</b>, ideal for those who seek quality products for their little ones! Get <b>Fisher Price</b> at the best prices!<br><br><ul><li>Recommended age: + 0 Years</li><li>Gender: Children's</li><li>Type: Balls</li><li>Includes: Ball x 5</li><li>Design: animals</li></ul>";2593;;23.29;16.98;14.43;21;0;6970327700577;26;30;10;0.44;579;"2024-12-31 15:19:10";"2025-01-16 13:12:07";https://cdnbigbuy.com/images/6970327700577_R0_WBG_PACK2.jpg;https://cdnbigbuy.com/images/6970327700577_R1_WBG2.jpg;https://cdnbigbuy.com/images/6970327700577_R2_WBG2.jpg;https://cdnbigbuy.com/images/6970327700577_R3_WBG_MKT2.jpg;https://cdnbigbuy.com/images/6970327700577_S2425249_P0_WBG2.jpg;;;;;NEW;95065900
S2425250;2662,2684;"Balls Fisher Price Lion";;;;;"Children deserve the best, that's why we present to you <b>Balls Fisher Price Lion</b>, ideal for those who seek quality products for their little ones! Get <b>Fisher Price</b> at the best prices!<br><br><ul><li>Recommended age: + 0 Years</li><li>Gender: Children's</li><li>Type: Balls</li><li>Design: Lion</li><li>Includes: Ball x 2</li></ul>";2593;;8.01;5.61;4.21;21;0;6970327700799;11;23;8;0.1;860;"2024-12-31 15:20:15";"2024-12-31 15:20:15";https://cdnbigbuy.com/images/6970327700799_R0_WBG2.jpg;https://cdnbigbuy.com/images/6970327700799_R1_WBG2.jpg;;;;;;;;NEW;95065900
S2425252;2662,2684;"Baby toy Fisher Price 6 Pieces Multicolour";;;;;"Children deserve the best, that's why we present to you <b>Baby toy Fisher Price 6 Pieces Multicolour</b>, ideal for those who seek quality products for their little ones! Get <b>Fisher Price</b> at the best prices!<br><br><ul><li>Number of pieces: 6 Pieces</li><li>Recommended age: <ul><li>Babies</li><li>+ 0 Years</li></ul></li><li>Type: Baby toy</li><li>Colour: Multicolour</li></ul>";2593;;20.15;14.69;12.49;21;0;6970327701383;25;25;8;0.45;848;"2024-12-31 15:20:10";"2024-12-31 15:20:10";https://cdnbigbuy.com/images/6970327701383_R00_WBG2.jpg;https://cdnbigbuy.com/images/6970327701383_R0_WBG_PACK2.jpg;https://cdnbigbuy.com/images/6970327701383_S2425252_GPSRL_P12.jpg;;;;;;;NEW;95030021
S2426991;2662,2684;"Ball Soft toys Monkey";;;;;"Children deserve the best, that's why we present to you <b>Ball 16 cm Monkey Soft toys</b>, ideal for those who seek quality products for their little ones! Get <b></b> at the best prices!<br><ul><li>Type: Soft toys</li><li>Approx. dimensions: 16 cm</li><li>Design: Monkey</li></ul>";3224;;9.43;6.6;4.95;21;0;8422802253422;18.25;19.23;18;0.138;0;"2024-12-31 14:43:10";"2024-12-31 14:43:10";https://cdnbigbuy.com/images/8422802253422_S2426991_P01.jpg;;;;;;;;;NEW;84145100
S2427000;2662,2684;"Ball Soft toys Rabbit";;;;;"Children deserve the best, that's why we present to you <b>Ball Rabbit 16 cm Soft toys</b>, ideal for those who seek quality products for their little ones! Get <b></b> at the best prices!<br><ul><li>Type: Soft toys</li><li>Approx. dimensions: 16 cm</li><li>Design: Rabbit</li></ul>";3224;;9.43;6.6;4.95;21;0;8422802253620;18.25;19.23;18;0.138;0;"2024-12-31 14:43:07";"2024-12-31 14:43:07";https://cdnbigbuy.com/images/8422802253620_S2427000_P01.jpg;;;;;;;;;NEW;84145100
S2436444;2662,2684;"Sensory ball Moltó 20 cm Blue";;;;;"Children deserve the best, that's why we present to you <b>Sensory ball Moltó 20 cm Blue</b>, ideal for those who seek quality products for their little ones! Get <b>Moltó</b> at the best prices!<br><br><ul><li>Approx. dimensions: 20 cm</li><li>Type: Sensory ball</li><li>Colour: Blue</li><li>Recommended age: + 6 Months</li></ul>";3779;;11.69;8.18;6.54;21;0;8410963245608;20;20;20;0.5;8;"2024-03-26 15:03:17";"2025-01-08 09:27:06";https://cdnbigbuy.com/images/8410963245608_S2436444_P21.jpg;https://cdnbigbuy.com/images/8410963245608_S2436444_P01.jpg;https://cdnbigbuy.com/images/8410963245608_S2436444_P11.jpg;https://cdnbigbuy.com/images/8410963245608_S2436444_P31.jpg;https://cdnbigbuy.com/images/8410963245608_S2436444_P41.jpg;https://cdnbigbuy.com/images/8410963245608_S2436444_GPSRL_P51.jpg;;;;NEW;84145100
S3602691;2662,2689;"Paper Bag 2 Units 11 x 36 x 21 cm";Colour;;White;;"Return to the office without forgetting a single thing! Buy <b>Paper Bag 2 Units 11 x 36 x 21 cm</b> and be the envy of your colleagues!<br><br><ul><li>Type: Bag</li><li>Material: Paper</li><li>Units: 2 Units</li><li>Approx. dimensions: 11 x 36 x 21 cm</li></ul>";3896;;1.86;1.3;0.91;21;0;8430852521743;11;36;21;0.077;0;"2025-01-20 06:57:19";"2025-01-23 16:56:32";https://cdnbigbuy.com/images/8430852521729_S3602816_P0_WBG2.jpg;https://cdnbigbuy.com/images/8430852521736_S3602817_P0_WBG2.jpg;https://cdnbigbuy.com/images/8430852521743_S3602691_P0_WBG2.jpg;https://cdnbigbuy.com/images/8430852521750_S3602692_P0_WBG2.jpg;https://cdnbigbuy.com/images/8430852521767_S3602693_P0_WBG2.jpg;https://cdnbigbuy.com/images/8430852521774_S3602694_P0_WBG2.jpg;https://cdnbigbuy.com/images/8430852521781_S3602695_P0_WBG2.jpg;https://cdnbigbuy.com/images/8430852521798_S3602696_P0_WBG2.jpg;;NEW;84716070
S3602692;2662,2689;"Paper Bag 2 Units 11 x 36 x 21 cm";Colour;;Pink;;"Return to the office without forgetting a single thing! Buy <b>Paper Bag 2 Units 11 x 36 x 21 cm</b> and be the envy of your colleagues!<br><br><ul><li>Type: Bag</li><li>Material: Paper</li><li>Units: 2 Units</li><li>Approx. dimensions: 11 x 36 x 21 cm</li></ul>";3896;;1.06;0.74;0.52;21;0;8430852521750;11;36;21;0.077;7;"2025-01-20 06:57:19";"2025-01-23 16:56:32";https://cdnbigbuy.com/images/8430852521729_S3602816_P0_WBG2.jpg;https://cdnbigbuy.com/images/8430852521736_S3602817_P0_WBG2.jpg;https://cdnbigbuy.com/images/8430852521743_S3602691_P0_WBG2.jpg;https://cdnbigbuy.com/images/8430852521750_S3602692_P0_WBG2.jpg;https://cdnbigbuy.com/images/8430852521767_S3602693_P0_WBG2.jpg;https://cdnbigbuy.com/images/8430852521774_S3602694_P0_WBG2.jpg;https://cdnbigbuy.com/images/8430852521781_S3602695_P0_WBG2.jpg;https://cdnbigbuy.com/images/8430852521798_S3602696_P0_WBG2.jpg;;NEW;84716070
S3602694;2662,2689;"Paper Bag 2 Units 11 x 36 x 21 cm";Colour;;Green;;"Return to the office without forgetting a single thing! Buy <b>Paper Bag 2 Units 11 x 36 x 21 cm</b> and be the envy of your colleagues!<br><br><ul><li>Type: Bag</li><li>Material: Paper</li><li>Units: 2 Units</li><li>Approx. dimensions: 11 x 36 x 21 cm</li></ul>";3896;;2.09;1.46;1.02;21;0;8430852521774;11;36;21;0.073;0;"2025-01-20 06:57:19";"2025-01-23 16:56:32";https://cdnbigbuy.com/images/8430852521729_S3602816_P0_WBG2.jpg;https://cdnbigbuy.com/images/8430852521736_S3602817_P0_WBG2.jpg;https://cdnbigbuy.com/images/8430852521743_S3602691_P0_WBG2.jpg;https://cdnbigbuy.com/images/8430852521750_S3602692_P0_WBG2.jpg;https://cdnbigbuy.com/images/8430852521767_S3602693_P0_WBG2.jpg;https://cdnbigbuy.com/images/8430852521774_S3602694_P0_WBG2.jpg;https://cdnbigbuy.com/images/8430852521781_S3602695_P0_WBG2.jpg;https://cdnbigbuy.com/images/8430852521798_S3602696_P0_WBG2.jpg;;NEW;84716070
